client,time,latency
2,18:24:22,10.344
4,18:24:22,26.827
0,18:24:22,14.346
3,18:24:22,15.106
1,18:24:22,14.860
2,18:24:23,2.259
4,18:24:23,2.423
1,18:24:23,3.850
0,18:24:23,4.607
3,18:24:23,5.238
4,18:24:23,2.369
2,18:24:23,4.464
0,18:24:23,1.897
3,18:24:23,2.203
1,18:24:23,7.869
4,18:24:24,2.206
2,18:24:24,1.716
0,18:24:24,1.491
3,18:24:24,3.553
1,18:24:24,1.052
2,18:24:24,1.906
4,18:24:24,4.582
0,18:24:24,3.532
3,18:24:24,1.857
1,18:24:24,3.379
2,18:24:25,0.759
4,18:24:25,1.826
0,18:24:25,2.161
3,18:24:25,2.808
1,18:24:25,0.577
2,18:24:25,0.724
4,18:24:25,0.556
0,18:24:25,0.404
1,18:24:25,2.640
3,18:24:25,6.235
2,18:24:26,1.900
0,18:24:26,1.178
4,18:24:26,3.012
1,18:24:26,2.409
3,18:24:26,3.276
2,18:24:26,4.084
4,18:24:26,1.405
0,18:24:26,2.907
1,18:24:26,1.389
3,18:24:26,2.464
4,18:24:27,0.572
0,18:24:27,0.552
2,18:24:27,7.196
1,18:24:27,3.269
3,18:24:27,0.626
4,18:24:27,0.783
0,18:24:27,4.306
2,18:24:27,1.377
1,18:24:27,0.426
3,18:24:27,2.621
4,18:24:28,1.884
0,18:24:28,0.650
1,18:24:28,2.199
2,18:24:28,4.127
3,18:24:28,1.842
4,18:24:28,3.805
0,18:24:28,4.394
1,18:24:28,0.375
2,18:24:28,1.083
3,18:24:28,1.842
4,18:24:29,0.790
2,18:24:29,0.571
1,18:24:29,2.906
0,18:24:29,5.899
3,18:24:29,0.422
4,18:24:29,4.122
1,18:24:29,0.737
2,18:24:29,3.501
3,18:24:29,1.400
0,18:24:29,5.142
4,18:24:30,3.223
1,18:24:30,0.665
3,18:24:30,0.592
2,18:24:30,2.853
0,18:24:30,2.454
4,18:24:30,2.523
3,18:24:30,1.096
1,18:24:30,4.194
2,18:24:30,1.959
0,18:24:30,1.900
4,18:24:31,2.047
1,18:24:31,0.547
3,18:24:31,1.593
2,18:24:31,1.169
0,18:24:31,1.950
1,18:24:31,3.160
2,18:24:31,0.415
4,18:24:31,3.729
3,18:24:31,3.305
0,18:24:31,2.228
2,18:24:32,1.271
1,18:24:32,1.721
4,18:24:32,2.842
3,18:24:32,2.649
0,18:24:32,0.453
2,18:24:32,1.882
3,18:24:32,1.727
4,18:24:32,2.850
0,18:24:32,1.451
1,18:24:32,8.351
2,18:24:33,0.801
3,18:24:33,3.087
4,18:24:33,2.696
0,18:24:33,2.722
1,18:24:33,3.367
2,18:24:33,3.719
4,18:24:33,2.612
3,18:24:33,3.073
0,18:24:33,1.597
1,18:24:33,0.367
3,18:24:34,0.897
4,18:24:34,1.487
1,18:24:34,0.921
2,18:24:34,6.751
0,18:24:34,6.196
4,18:24:34,0.681
3,18:24:34,1.798
2,18:24:34,3.284
1,18:24:34,3.911
0,18:24:34,1.459
3,18:24:35,2.405
4,18:24:35,3.356
1,18:24:35,0.378
2,18:24:35,1.264
0,18:24:35,3.067
3,18:24:35,0.778
4,18:24:35,2.096
2,18:24:35,2.473
1,18:24:35,4.126
0,18:24:35,0.970
3,18:24:36,0.682
4,18:24:36,2.892
2,18:24:36,1.425
0,18:24:36,2.187
1,18:24:36,3.175
3,18:24:36,2.443
2,18:24:36,0.432
